-0.711	0.806	-0.555	0.369	1.299	-1.214	-1.004	-0.472	0.245	0.428	
1.173	-0.233	0.257	-1.486	-1.068	0.541	-0.162	0.922	-0.609	-0.669	
1.173	-0.968	0.784	0.288	-1.068	0.261	-0.162	-0.136	-0.004	-1.526	
-1.483	-0.233	0.574	-1.486	-0.382	1.047	-0.547	0.163	-1.013	0.965	
1.890	1.435	0.836	0.964	1.463	-1.214	1.710	-0.472	0.245	-0.116	
1.261	1.703	1.199	1.134	1.463	1.163	0.762	0.687	0.878	1.498	
-0.560	0.261	0.203	0.715	0.951	0.747	-0.547	0.687	-1.013	-1.526	
-1.145	0.541	0.416	0.678	1.129	-0.174	1.264	-1.353	-1.624	0.697	
-0.785	-0.233	1.711	0.246	-1.068	1.047	-1.004	0.687	0.245	-1.235	
0.569	0.202	0.469	-0.573	0.358	1.163	-0.162	0.687	-0.004	0.965	
1.708	-2.522	-1.230	-0.953	-1.068	-1.214	0.177	0.163	-0.004	-0.116	
0.485	-0.729	-0.281	-0.303	-1.068	-1.214	-0.162	-0.472	-0.004	0.157	
-0.785	0.541	-0.336	0.603	0.951	-0.174	1.493	-1.353	1.405	0.428	
-0.249	-0.507	0.043	-1.276	-0.111	-1.214	-1.004	-0.864	-0.609	-0.116	
-0.711	1.249	0.096	0.752	1.299	1.636	0.482	1.743	-1.013	0.697	
1.982	-0.806	0.257	-0.355	-0.382	1.264	-0.547	0.687	0.245	-0.669	
-0.090	0.431	0.096	0.527	-0.111	0.261	-1.004	1.143	-1.013	0.697	
0.739	-0.168	0.257	0.288	-0.692	-1.214	-0.162	0.436	1.718	-0.391	
-2.187	1.296	0.836	1.101	0.567	0.541	1.916	-1.353	0.245	0.697	
-0.711	0.908	1.250	1.200	1.299	0.911	2.485	0.922	1.405	1.232	
-2.106	-0.041	-1.820	-1.486	0.567	-0.174	0.177	-2.110	-1.624	0.157	
0.153	0.261	2.015	1.548	1.299	1.636	1.710	2.104	1.238	0.965	
0.318	1.703	2.015	2.045	0.567	0.747	1.264	1.143	0.472	-0.391	
1.085	-1.423	0.257	0.204	0.764	0.541	0.177	-0.864	0.472	0.965	
-0.090	0.318	-1.404	-1.486	-1.610	-1.214	-2.550	-1.353	-1.624	-1.235	
-0.711	0.541	1.456	0.752	0.951	0.747	-0.547	0.163	1.063	0.697	
-1.145	-1.635	-1.058	-1.486	-0.382	-0.174	0.177	-0.472	-1.624	-0.116	
-0.859	-0.729	-1.881	-0.461	-1.068	-0.174	-0.547	-1.353	0.878	-1.830	
0.153	-0.729	-0.500	0.074	-1.610	-1.214	-1.004	-0.864	1.063	-1.526	
0.998	-1.526	0.469	-0.015	0.764	1.574	-0.162	0.922	-0.004	2.288	
-0.636	-0.168	-0.227	-0.817	-1.068	-1.214	-1.004	-0.472	-1.013	-0.391	
0.654	0.318	-0.173	0.030	1.129	1.264	1.021	1.552	-0.609	1.498	
0.153	-0.300	-1.002	-1.026	-1.610	-1.214	-2.550	0.436	-1.013	0.157	
-0.406	-0.300	-0.500	-0.753	-0.382	-1.214	-1.004	-1.353	-1.013	0.157	
1.708	0.431	0.257	-0.461	0.133	-1.214	0.177	0.436	0.245	0.428	
0.485	1.875	1.096	1.903	0.764	0.541	0.762	1.353	0.472	0.697	
1.173	-0.968	-1.404	-1.104	-1.068	-0.174	-0.162	-1.353	-1.013	-0.669	
0.153	0.318	-0.119	-0.573	-1.610	-1.214	-0.162	0.163	-1.013	-1.235	
-0.636	2.042	0.043	1.456	-0.111	0.747	1.264	0.436	1.063	-0.391	
-0.406	-0.104	-0.889	0.246	-0.692	0.747	0.482	0.687	-0.609	-0.950	
0.569	-1.325	-0.555	-1.486	-1.068	-1.214	0.177	-0.472	-1.013	-0.669	
-0.328	1.249	-0.281	0.859	1.299	0.541	-0.162	-0.136	1.405	-0.391	
0.485	-0.806	-0.555	-0.108	-0.111	-1.214	0.482	-1.353	0.472	-1.235	
-0.406	-0.104	-0.889	-0.753	-0.692	-1.214	-0.547	-0.472	1.405	0.428	
-0.932	-0.168	-0.227	0.409	-1.068	-0.174	-1.004	-0.864	0.245	-1.830	
0.235	-0.806	-0.390	0.859	1.299	1.636	0.482	1.552	1.718	1.498	
0.401	-0.968	-2.538	-1.486	0.567	-1.214	-0.162	-1.353	-0.609	-0.669	
1.085	1.106	0.679	1.200	1.463	0.911	0.482	0.436	1.063	1.232	
-1.849	-1.635	-0.721	-1.486	-1.068	-0.174	-0.547	-0.136	-1.624	-1.235	
-0.859	0.596	1.965	0.964	-0.111	-0.174	-0.547	1.143	1.405	1.498	
