Label,X,Y,Z
NzHS,-4.47439741006,9.84683130852,8.03865666557
IzHS,-4.0307899941,-9.26687117421,8.19164898173
ARHS,-3.50743978968,0.4006322818,1.52269338563
ALHS,-8.79969388489,1.15342040896,14.6954490905
Fp1HS,,,
Fp2HS,,,
FzHS,,,
F3HS,,,
F4HS,,,
F7HS,,,
F8HS,,,
CzHS,6.87257527391,1.05092003598,11.2831781828
C3HS,,,
C4HS,,,
T3HS,,,
T4HS,,,
PzHS,,,
P3HS,,,
P4HS,,,
T5HS,,,
T6HS,,,
O1HS,,,
O2HS,,,
